Date,XIU,XBB,COW,XRE
2011-08-05,17.714285,30.64,21.898455,14.10988
2011-08-08,17.010204,30.83,20.518764,13.40939
2011-08-09,17.724489,30.86,21.523178,13.86971
2011-08-10,17.765306,31.11,21.181017,14.01981
2011-08-11,18.336735,30.87,22.185431,14.53017
2011-08-12,18.336735,30.93,22.395145,14.63024
2011-08-15,18.540817,30.81,22.527594,14.67027
2011-08-16,18.357143,30.85,22.406179,14.4301
2011-08-17,18.408163,30.96,22.273731,14.41009
2011-08-18,17.816326,31.08,21.368654,14.1499
2011-08-19,17.489796,31.15,20.98234,13.96978
2011-08-22,17.602041,31.16,21.11479,14.1399
2011-08-23,18.081633,31.07,21.788078,14.4301
2011-08-24,18.153061,30.87,22.185431,14.49014
2011-08-25,17.989796,30.86,21.65563,14.47013
2011-08-26,18.030613,30.84,22.218542,14.50015
2011-08-29,18.306122,30.73,22.803532,14.65026
2011-08-30,18.459183,30.81,23.145695,14.65026
2011-08-31,18.663265,30.66,23.03532,14.76033
2011-09-01,18.591837,30.77,22.825607,14.69028
2011-09-02,18.44898,30.93,22.571745,14.51016
2011-09-06,18.357143,31.09,22.306843,14.51016
2011-09-07,18.653061,31,22.90287,14.7103
2011-09-08,18.55102,31.07,22.571745,14.7203
2011-09-09,18.112246,31.28,22.185431,14.54018
2011-09-12,17.785715,31.18,21.854303,14.51016
2011-09-13,17.816326,31.1,22.130241,14.66026
2011-09-14,17.959183,31.05,22.593819,14.78035
2011-09-15,18.193878,30.97,22.649008,14.90043
2011-09-16,17.938776,30.96,22.395145,14.89042
2011-09-19,17.785715,31.08,22.240618,14.92044
2011-09-20,17.82653,31.08,21.942604,15.01051
2011-09-21,17.408163,31.16,21.51214,14.92044
2011-09-22,16.867348,31.39,20.584988,14.69028
2011-09-23,16.734694,31.22,20.684326,14.61023
2011-09-26,17.061224,31.07,21.136866,14.74032
2011-09-27,17.275511,30.97,21.214127,14.82037
2011-09-28,16.928572,30.96,20.84989,14.78035
2011-09-29,17.142857,30.97,21.103754,14.7203
2011-09-30,17,31.07,20.485651,14.70029
2011-10-03,16.479591,31.17,19.646799,14.37006
2011-10-04,16.428572,31.18,20.187639,14.11988
2011-10-05,16.897959,31.08,20.551878,14.20995
2011-10-06,17.346939,30.96,21.412804,14.23997
2011-10-07,17.05102,30.94,20.894039,14.11988
2011-10-11,17.438776,30.87,21.898455,14.29
2011-10-12,17.62245,30.76,22.030905,14.45012
2011-10-13,17.37755,30.89,22.008831,14.52016
2011-10-14,17.67347,30.67,22.141279,14.46012
2011-10-17,17.438776,30.88,21.92053,14.40008
2011-10-18,17.602041,30.85,22.174393,14.42009
2011-10-19,17.32653,30.82,21.865341,14.38007
2011-10-20,17.295918,30.84,21.83223,14.42009
2011-10-21,17.510204,30.77,22.339956,14.59021
2011-10-24,17.775511,30.74,22.737307,14.7203
2011-10-25,17.683674,30.87,22.461369,14.65026
2011-10-26,17.785715,30.65,22.737307,14.64025
2011-10-27,18.255102,30.5,23.454746,14.73031
2011-10-28,18.275511,30.6,23.543047,14.77034
2011-10-31,17.887754,30.86,22.869757,14.87041
2011-11-01,17.632652,31.12,22.472406,14.79035
2011-11-02,17.806122,31.06,22.891832,14.81037
