Date,GSPC,IXIC,DJI
2004-01-08,1131.920044000000,2100.250000000000,10592.440430000000
2004-01-09,1121.859985000000,2086.919922000000,10458.889648000000
2004-01-12,1127.229980000000,2111.780029000000,10485.179688000000
2004-01-13,1121.219971000000,2096.439941000000,10427.179688000000
2004-01-14,1130.520020000000,2111.129883000000,10538.370117000000
2004-01-15,1132.050049000000,2109.080078000000,10553.849609000000
2004-01-16,1139.829956000000,2140.459961000000,10600.509766000000
2004-01-20,1138.770020000000,2147.979980000000,10528.660156000000
2004-01-21,1147.619995000000,2142.449951000000,10623.620117000000
2004-01-22,1143.939941000000,2119.010010000000,10623.179688000000
2004-01-23,1141.550049000000,2123.870117000000,10568.290039000000
2004-01-26,1155.369995000000,2153.830078000000,10702.509766000000
2004-01-27,1144.050049000000,2116.040039000000,10609.919922000000
2004-01-28,1128.479980000000,2077.370117000000,10468.370117000000
2004-01-29,1134.109985000000,2068.229980000000,10510.290039000000
2004-01-30,1131.130005000000,2066.149902000000,10488.070313000000
2004-02-02,1135.260010000000,2063.149902000000,10499.179688000000
2004-02-03,1136.030029000000,2066.209961000000,10505.179688000000
2004-02-04,1126.520020000000,2014.140015000000,10470.740234000000
2004-02-05,1128.589966000000,2019.560059000000,10495.549805000000
2004-02-06,1142.760010000000,2064.010010000000,10593.030273000000
2004-02-09,1139.810059000000,2060.570068000000,10579.030273000000
2004-02-10,1145.540039000000,2075.330078000000,10613.849609000000
2004-02-11,1157.760010000000,2089.659912000000,10737.700195000000
2004-02-12,1152.109985000000,2073.610107000000,10694.070313000000
2004-02-13,1145.810059000000,2053.560059000000,10627.849609000000
2004-02-17,1156.989990000000,2080.350098000000,10714.879883000000
2004-02-18,1151.819946000000,2076.469971000000,10671.990234000000
2004-02-19,1147.060059000000,2045.959961000000,10664.730469000000
2004-02-20,1144.109985000000,2037.930054000000,10619.030273000000
2004-02-23,1140.989990000000,2007.520020000000,10609.620117000000
2004-02-24,1139.089966000000,2005.439941000000,10566.370117000000
2004-02-25,1143.670044000000,2022.979980000000,10601.620117000000
2004-02-26,1144.910034000000,2032.569946000000,10580.139648000000
2004-02-27,1144.939941000000,2029.819946000000,10583.919922000000
2004-03-01,1155.969971000000,2057.800049000000,10678.139648000000
2004-03-02,1149.099976000000,2039.650024000000,10591.480469000000
2004-03-03,1151.030029000000,2033.359985000000,10593.110352000000
2004-03-04,1154.869995000000,2055.110107000000,10588.000000000000
2004-03-05,1156.859985000000,2047.630005000000,10595.549805000000
2004-03-08,1147.199951000000,2008.780029000000,10529.480469000000
2004-03-09,1140.579956000000,1995.160034000000,10456.959961000000
2004-03-10,1123.890015000000,1964.150024000000,10296.889648000000
2004-03-11,1106.780029000000,1943.890015000000,10128.379883000000
2004-03-12,1120.569946000000,1984.729980000000,10240.080078000000
2004-03-15,1104.489990000000,1939.199951000000,10102.889648000000
2004-03-16,1110.699951000000,1943.089966000000,10184.669922000000
2004-03-17,1123.750000000000,1976.760010000000,10300.299805000000
2004-03-18,1122.319946000000,1962.439941000000,10295.780273000000
2004-03-19,1109.780029000000,1940.469971000000,10186.599609000000
2004-03-22,1095.400024000000,1909.900024000000,10064.750000000000
2004-03-23,1093.949951000000,1901.800049000000,10063.639648000000
2004-03-24,1091.329956000000,1909.479980000000,10048.230469000000
2004-03-25,1109.189941000000,1967.170044000000,10218.820313000000
2004-03-26,1108.060059000000,1960.020020000000,10212.969727000000
2004-03-29,1122.469971000000,1992.569946000000,10329.629883000000
2004-03-30,1127.000000000000,2000.630005000000,10381.700195000000
2004-03-31,1126.209961000000,1994.219971000000,10357.700195000000
2004-04-01,1132.170044000000,2015.010010000000,10373.330078000000
2004-04-02,1141.810059000000,2057.169922000000,10470.589844000000
2004-04-05,1150.569946000000,2079.120117000000,10558.370117000000
2004-04-06,1148.160034000000,2059.899902000000,10570.809570000000
2004-04-07,1140.530029000000,2050.239990000000,10480.150391000000
2004-04-08,1139.319946000000,2052.879883000000,10442.030273000000
2004-04-12,1145.199951000000,2065.479980000000,10515.559570000000
2004-04-13,1129.439941000000,2030.079956000000,10381.280273000000
2004-04-14,1128.170044000000,2024.849976000000,10377.950195000000
2004-04-15,1128.839966000000,2002.170044000000,10397.459961000000
2004-04-16,1134.609985000000,1995.739990000000,10451.969727000000
2004-04-19,1135.819946000000,2020.430054000000,10437.849609000000
2004-04-20,1118.150024000000,1978.630005000000,10314.500000000000
2004-04-21,1124.089966000000,1995.630005000000,10317.269531000000
2004-04-22,1139.930054000000,2032.910034000000,10461.200195000000
2004-04-23,1140.599976000000,2049.770020000000,10472.839844000000
2004-04-26,1135.530029000000,2036.770020000000,10444.730469000000
2004-04-27,1138.109985000000,2032.530029000000,10478.160156000000
2004-04-28,1122.410034000000,1989.540039000000,10342.599609000000
2004-04-29,1113.890015000000,1958.780029000000,10272.269531000000
2004-04-30,1107.300049000000,1920.150024000000,10225.570313000000
2004-05-03,1117.489990000000,1938.719971000000,10314.000000000000
2004-05-04,1119.550049000000,1950.479980000000,10317.200195000000
2004-05-05,1121.530029000000,1957.260010000000,10310.950195000000
2004-05-06,1113.989990000000,1937.739990000000,10241.259766000000
2004-05-07,1098.699951000000,1917.959961000000,10117.339844000000
2004-05-10,1087.119995000000,1896.069946000000,9990.019531000000
2004-05-11,1095.449951000000,1931.349976000000,10019.469727000000
2004-05-12,1097.280029000000,1925.589966000000,10045.160156000000
2004-05-13,1096.439941000000,1926.030029000000,10010.740234000000
2004-05-14,1095.699951000000,1904.250000000000,10012.870117000000
2004-05-17,1084.099976000000,1876.640015000000,9906.910156000000
2004-05-18,1091.489990000000,1897.819946000000,9968.509766000000
2004-05-19,1088.680054000000,1898.170044000000,9937.709961000000
2004-05-20,1089.189941000000,1896.589966000000,9937.639648000000
2004-05-21,1093.560059000000,1912.089966000000,9966.740234000000
2004-05-24,1095.410034000000,1922.979980000000,9958.429688000000
2004-05-25,1113.050049000000,1964.650024000000,10117.620117000000
2004-05-26,1114.939941000000,1976.150024000000,10109.889648000000
2004-05-27,1121.280029000000,1984.500000000000,10205.200195000000
2004-05-28,1120.680054000000,1986.739990000000,10188.450195000000
2004-06-01,1121.199951000000,1990.770020000000,10202.650391000000
2004-06-02,1124.989990000000,1988.979980000000,10262.969727000000
2004-06-03,1116.640015000000,1960.260010000000,10195.910156000000
2004-06-04,1122.500000000000,1978.619995000000,10242.820313000000
2004-06-07,1140.420044000000,2020.619995000000,10391.080078000000
2004-06-08,1142.180054000000,2023.530029000000,10432.519531000000
2004-06-09,1131.329956000000,1990.609985000000,10368.440430000000
2004-06-10,1136.469971000000,1999.869995000000,10410.099609000000
2004-06-14,1125.290039000000,1969.989990000000,10334.730469000000
2004-06-15,1132.010010000000,1995.599976000000,10380.429688000000
2004-06-16,1133.560059000000,1998.229980000000,10379.580078000000
2004-06-17,1132.050049000000,1983.670044000000,10377.519531000000
2004-06-18,1135.020020000000,1986.729980000000,10416.410156000000
